'ambition': [398, 31] 
'fault': [397, 42] 
'inheritance': [395, 22] 
'modern': [392, 29] 
'pity': [392, 38] 
'jews': [389, 20] 
'prosperity': [382, 31] 
'suffered': [381, 36] 
'religious': [378, 31] 
'righteousness': [378, 13] 
'success': [377, 36] 
'revolution': [374, 26] 
'reward': [374, 29] 
'pope': [373, 16] 
'merit': [372, 35] 
'fashion': [365, 39] 
'slavery': [364, 30] 
'dignity': [363, 37] 
'revenge': [362, 39] 
'throne': [361, 28] 
'belief': [358, 36] 
'virtuous': [355, 35] 
'violent': [352, 38] 
'humanity': [351, 29]
'generation': [349, 35] 
'dream': [348, 37] 
'perfection': [343, 33] 
'military': [343, 25] 
'marry': [341, 31] // 'married': [341, 31] 
'poverty': [332, 36] 
'iniquity': [329, 15] 
'italy': [327, 29] 
'scripture': [318, 15] 
'tyranny': [317, 30] 
'population': [317, 16] 
'apollo': [313, 17]
'desired': [312, 38]  // maybe w desire
'advice': [311, 33] 
'european': [306, 18] 
'hatred': [305, 40] 
'immortal': [305, 32] 
'babylon': [304, 11] 
'devil': [298, 21] 
'intelligence': [297, 33] 
'royal': [296, 31] 
'abraham': [293, 10] 
'spain': [289, 20] 
'greek': [286, 27] 
'oil': [286, 22]
'politics': [276, 20] 
'skill': [276, 40] 
'paris': [274, 24] 
'agamemnon': [273, 11] 
'sex': [271, 27] 
'journey': [269, 32] 
'tyrant': [267, 36] 
'humour': [267, 25] 
'sad': [262, 33]
'corruption': [250, 31] 
'monarchy': [249, 17] 
'troops': [247, 26] 
'innocent': [243, 32] 
'universe': [236, 25] 
'london': [234, 19] 
'song': [230, 33] 
'apostles': [229, 10] 
'sky': [229, 27] 
'aristocracy': [227, 18]
'spiritual': [218, 16] 
'india': [218, 18] 
'scotland': [216, 11] 
'cruelty': [215, 29]
'growth': [212, 28] 
'corrupt': [210, 30] 
'horror': [209, 26] 
'kindness': [209, 29] 
'talents': [209, 22] 
'mars': [207, 18] 
'emperor': [204, 18] 
'jupiter': [203, 14] 
'abuse': [201, 35] 
'complain': [201, 30] 
'deceive': [201, 30] 
'protect': [199, 31] 
'correct': [198, 29] 
'farmer': [198, 11] 
'venus': [198, 15] 
'lust': [197, 27] 
'sorry': [196, 25] 
'hunger': [196, 31] 
'monopoly': [196, 9] 
'development': [196, 18] 
'aeneas': [195, 8] 
'forgive': [190, 26] 
'jealousy': [188, 28] 
'privilege': [187, 29] 
'aristotle': [187, 17] 
'oligarchy': [186, 12] 
'parliament': [186, 12] 
'athens': [184, 26]
'neptune': [184, 13] 
'consciousness': [183, 26]
'curious': [182, 29] 
'miracles': [181, 14] 
'trial': [176, 35] 
'rousseau': [174, 11] 
'anxiety': [171, 24] 
'conquest': [168, 28] 
'oppressed': [164, 26] 
'german': [164, 21] 
'win': [162, 37] 
